t RuBP PGA DPGA T3P FBP E4P S7P SBP ATP NADPH CO2 O2 HexP PenP GCEA GCA PGCA GCAc GOAc SERc GLYc HPRc GCEAc T3Pc FBPc HexPc F26BPc ATPc ADPc OPOPc UDPGc UTPc SUCP SUC PGAc 
0.0013356 2 2.3894 0.011899 0.50419 0.66879 0.053511 1.9999 0.29683 0.66945 0.21 0.012 0.264 2.2003 0.25058 0.18031 0.36119 0.0020158 0.35849 0.028566 7.4999 1.8003 0.0037015 0.18144 2.3002 1.9999 5.8 1.9994e-05 0.35 0.65 0 0.57005 0.75 3.8981e-06 4.1302e-09 0.0002617  
0.001506 2 2.3881 0.01315 0.50482 0.66863 0.053952 1.9998 0.29644 0.66813 0.21 0.012 0.264 2.2004 0.25065 0.1802 0.36132 0.0019311 0.3583 0.028637 7.4999 1.8004 0.0037266 0.18147 2.3002 1.9999 5.8 2.155e-05 0.35 0.65 0 0.57005 0.75 4.3949e-06 5.2504e-09 0.0002949  
0.0016764 2 2.3868 0.014385 0.50547 0.66848 0.054391 1.9998 0.29604 0.66681 0.21 0.012 0.264 2.2004 0.25073 0.18008 0.36143 0.0018515 0.35811 0.028708 7.4998 1.8004 0.0037516 0.1815 2.3002 1.9999 5.8 2.3106e-05 0.35 0.65 0 0.57006 0.75 4.8916e-06 6.5047e-09 0.00032805  
0.0019808 1.9999 2.3844 0.01656 0.50663 0.6682 0.055172 1.9998 0.29534 0.66446 0.21 0.012 0.264 2.2005 0.25086 0.17989 0.36163 0.0017212 0.35777 0.028834 7.4998 1.8005 0.003796 0.18155 2.3003 1.9999 5.8 2.5885e-05 0.35 0.65 0 0.57007 0.75 5.7786e-06 9.0794e-09 0.00038718  
0.0022852 1.9999 2.3821 0.018699 0.50782 0.66793 0.055948 1.9997 0.29464 0.66212 0.21 0.012 0.264 2.2006 0.251 0.17969 0.36181 0.0016048 0.35743 0.02896 7.4998 1.8006 0.00384 0.18161 2.3003 1.9999 5.8 2.8664e-05 0.35 0.65 0 0.57008 0.75 6.6652e-06 1.2082e-08 0.00044618  
0.0025897 1.9999 2.3798 0.020805 0.50902 0.66765 0.056719 1.9997 0.29395 0.6598 0.21 0.012 0.264 2.2007 0.25114 0.17949 0.36198 0.0015008 0.35709 0.029084 7.4997 1.8006 0.0038837 0.18166 2.3003 1.9998 5.8 3.1443e-05 0.35 0.65 0 0.57009 0.75 7.5515e-06 1.5512e-08 0.00050503  
0.0028941 1.9999 2.3774 0.022883 0.51023 0.66738 0.057485 1.9997 0.29327 0.6575 0.21 0.012 0.264 2.2008 0.25128 0.1793 0.36214 0.0014079 0.35675 0.029208 7.4997 1.8007 0.0039269 0.18172 2.3004 1.9998 5.8 3.4222e-05 0.35 0.65 0 0.5701 0.75 8.4373e-06 1.9369e-08 0.00056375  
0.0031985 1.9999 2.3751 0.024935 0.51145 0.6671 0.058246 1.9996 0.29259 0.6552 0.21 0.012 0.264 2.2008 0.25142 0.1791 0.36228 0.0013249 0.35642 0.029331 7.4997 1.8008 0.0039698 0.18177 2.3004 1.9998 5.8 3.7001e-05 0.35 0.65 0 0.57011 0.75 9.3227e-06 2.3653e-08 0.00062233  
0.0037675 1.9999 2.3709 0.028707 0.51374 0.66658 0.059655 1.9996 0.29133 0.65095 0.21 0.012 0.264 2.201 0.25168 0.17874 0.36253 0.001193 0.35579 0.029559 7.4996 1.801 0.0040489 0.18188 2.3005 1.9998 5.8001 4.2194e-05 0.35 0.65 0 0.57013 0.75 1.0976e-05 3.2804e-08 0.00073145  
0.0043364 1.9999 2.3666 0.032404 0.51604 0.66607 0.061049 1.9995 0.29008 0.64675 0.21 0.012 0.264 2.2011 0.25194 0.17838 0.36275 0.0010864 0.35517 0.029785 7.4996 1.8011 0.0041268 0.18198 2.3006 1.9997 5.8001 4.7386e-05 0.35 0.65 0 0.57015 0.75 1.2629e-05 4.3443e-08 0.0008401  
0.0049053 1.9998 2.3624 0.036035 0.51835 0.66555 0.062426 1.9994 0.28886 0.64259 0.21 0.012 0.264 2.2013 0.25221 0.17803 0.36294 0.0010001 0.35455 0.030008 7.4995 1.8013 0.0042034 0.18209 2.3007 1.9997 5.8001 5.2578e-05 0.35 0.65 0 0.57017 0.75 1.428e-05 5.557e-08 0.00094829  
0.0054743 1.9998 2.3583 0.039604 0.52066 0.66504 0.063788 1.9994 0.28765 0.63848 0.21 0.012 0.264 2.2014 0.25249 0.17768 0.36312 0.00093031 0.35393 0.030228 7.4994 1.8014 0.0042789 0.18219 2.3007 1.9997 5.8001 5.777e-05 0.35 0.65 0 0.57019 0.75 1.5929e-05 6.9183e-08 0.001056  
0.0060432 1.9998 2.3542 0.043114 0.52296 0.66452 0.065134 1.9993 0.28645 0.63442 0.21 0.012 0.264 2.2016 0.25276 0.17733 0.36328 0.00087391 0.35332 0.030446 7.4994 1.8016 0.0043531 0.1823 2.3008 1.9996 5.8001 6.2961e-05 0.35 0.65 0 0.57021 0.75 1.7577e-05 8.428e-08 0.0011633  
0.0069516 1.9997 2.3477 0.048606 0.52664 0.6637 0.067253 1.9992 0.28458 0.62802 0.21 0.012 0.264 2.2018 0.25321 0.17678 0.36351 0.00080568 0.35235 0.030789 7.4993 1.8018 0.0044693 0.18247 2.3009 1.9996 5.8001 7.125e-05 0.35 0.65 0 0.57024 0.75 2.0206e-05 1.1146e-07 0.0013336  
0.00786 1.9997 2.3413 0.053966 0.5303 0.66288 0.069336 1.9991 0.28274 0.62173 0.21 0.012 0.264 2.202 0.25367 0.17624 0.36371 0.00075718 0.35138 0.031125 7.4992 1.8021 0.0045827 0.18264 2.3011 1.9995 5.8001 7.9538e-05 0.35 0.65 0 0.57027 0.75 2.2831e-05 1.4241e-07 0.0015028  
0.0087685 1.9997 2.335 0.059204 0.53394 0.66205 0.071383 1.9989 0.28094 0.61555 0.21 0.012 0.264 2.2023 0.25413 0.17571 0.36389 0.00072262 0.35043 0.031456 7.4991 1.8024 0.0046933 0.18281 2.3012 1.9994 5.8001 8.7824e-05 0.35 0.65 0 0.57031 0.75 2.5453e-05 1.7713e-07 0.0016709  
0.0096769 1.9996 2.3289 0.064324 0.53756 0.66123 0.073396 1.9988 0.27918 0.60948 0.21 0.012 0.264 2.2025 0.25461 0.17519 0.36405 0.00069803 0.34948 0.031781 7.499 1.8026 0.0048012 0.18298 2.3013 1.9994 5.8001 9.611e-05 0.35 0.65 0 0.57034 0.75 2.8071e-05 2.1561e-07 0.0018379  
0.010585 1.9995 2.3228 0.069332 0.54115 0.66041 0.075376 1.9987 0.27745 0.60352 0.21 0.012 0.264 2.2027 0.25509 0.17468 0.3642 0.00068058 0.34853 0.032099 7.4989 1.8029 0.0049066 0.18316 2.3014 1.9993 5.8001 0.0001044 0.35 0.65 0 0.57037 0.75 3.0686e-05 2.5784e-07 0.0020038  
0.01188 1.9995 2.3143 0.076284 0.54624 0.65924 0.078143 1.9985 0.27505 0.59519 0.21 0.012 0.264 2.203 0.25579 0.17396 0.3644 0.00066433 0.3472 0.032544 7.4987 1.8033 0.0050525 0.18341 2.3016 1.9993 5.8002 0.0001162 0.35 0.65 0 0.57042 0.75 3.4406e-05 3.245e-07 0.0022385  
0.013175 1.9994 2.3059 0.083026 0.55127 0.65807 0.080848 1.9983 0.27271 0.58706 0.21 0.012 0.264 2.2034 0.2565 0.17326 0.36457 0.00065444 0.34589 0.032977 7.4985 1.8038 0.0051936 0.18366 2.3018 1.9992 5.8002 0.00012801 0.35 0.65 0 0.57046 0.75 3.812e-05 3.9876e-07 0.002471  
0.014469 1.9993 2.2978 0.089567 0.55625 0.6569 0.083494 1.9981 0.27043 0.57914 0.21 0.012 0.264 2.2037 0.25723 0.17257 0.36473 0.0006484 0.34458 0.0334 7.4984 1.8042 0.0053301 0.18392 2.302 1.9991 5.8002 0.00013981 0.35 0.65 0 0.57051 0.75 4.1826e-05 4.8059e-07 0.0027015  
0.015764 1.9992 2.2898 0.095917 0.56117 0.65573 0.086083 1.9979 0.26821 0.5714 0.21 0.012 0.264 2.204 0.25798 0.1719 0.36487 0.00064477 0.3433 0.033811 7.4982 1.8046 0.0054621 0.18417 2.3021 1.999 5.8002 0.00015161 0.35 0.65 0 0.57055 0.75 4.5525e-05 5.6998e-07 0.00293  
0.017059 1.9991 2.282 0.10208 0.56605 0.65456 0.088619 1.9977 0.26605 0.56385 0.21 0.012 0.264 2.2043 0.25874 0.17125 0.365 0.00064268 0.34202 0.034212 7.498 1.8051 0.0055899 0.18443 2.3023 1.9989 5.8002 0.00016341 0.35 0.65 0 0.5706 0.75 4.9217e-05 6.6691e-07 0.0031564  
0.01929 1.9989 2.2689 0.11229 0.57433 0.65254 0.092868 1.9973 0.26246 0.55125 0.21 0.012 0.264 2.2048 0.26008 0.17016 0.36519 0.00064121 0.33985 0.03488 7.4977 1.8059 0.0058007 0.18487 2.3026 1.9988 5.8003 0.00018374 0.35 0.65 0 0.57067 0.75 5.5565e-05 8.5161e-07 0.0035423  
0.021522 1.9987 2.2562 0.12201 0.58246 0.65053 0.096974 1.9969 0.25901 0.53916 0.21 0.012 0.264 2.2054 0.26146 0.16911 0.36535 0.00064089 0.33773 0.035519 7.4974 1.8067 0.0060003 0.18531 2.303 1.9987 5.8003 0.00020407 0.35 0.65 0 0.57075 0.75 6.1891e-05 1.0586e-06 0.0039227  
0.023754 1.9985 2.244 0.13125 0.59046 0.64852 0.10095 1.9965 0.25571 0.52756 0.21 0.012 0.264 2.2059 0.26288 0.1681 0.36547 0.00064101 0.33564 0.03613 7.4971 1.8075 0.0061894 0.18576 2.3033 1.9985 5.8003 0.00022439 0.35 0.65 0 0.57083 0.75 6.8197e-05 1.2876e-06 0.0042978  
0.025985 1.9983 2.2323 0.14004 0.59831 0.64651 0.10479 1.9961 0.25255 0.51642 0.21 0.012 0.264 2.2064 0.26433 0.16714 0.36556 0.00064137 0.33359 0.036714 7.4967 1.8084 0.0063688 0.18621 2.3036 1.9984 5.8003 0.00024471 0.35 0.65 0 0.57091 0.75 7.4483e-05 1.5388e-06 0.0046677  
0.028217 1.9981 2.2209 0.14841 0.60604 0.6445 0.10852 1.9957 0.24951 0.50573 0.21 0.012 0.264 2.2069 0.26582 0.16621 0.36561 0.00064187 0.33157 0.037274 7.4964 1.8092 0.0065389 0.18665 2.3039 1.9982 5.8004 0.00026502 0.35 0.65 0 0.57099 0.75 8.0747e-05 1.8119e-06 0.0050327  
0.03336 1.9976 2.196 0.16619 0.62339 0.63987 0.11671 1.9946 0.24294 0.48266 0.21 0.012 0.264 2.208 0.26938 0.16423 0.36562 0.0006432 0.32706 0.038472 7.4956 1.8114 0.006899 0.18768 2.3047 1.9979 5.8004 0.00031181 0.35 0.65 0 0.57117 0.75 9.5109e-05 2.5245e-06 0.0058561  
0.038504 1.997 2.173 0.18205 0.64015 0.63525 0.12438 1.9936 0.23693 0.46161 0.21 0.012 0.264 2.2092 0.27309 0.16245 0.36547 0.0006445 0.32273 0.039553 7.4947 1.8136 0.0072193 0.18869 2.3054 1.9976 5.8005 0.00035858 0.35 0.65 0 0.57135 0.75 0.00010936 3.3522e-06 0.006656  
0.043647 1.9963 2.1516 0.19619 0.65639 0.63064 0.1316 1.9924 0.23141 0.44238 0.21 0.012 0.264 2.2102 0.27694 0.16084 0.36517 0.00064571 0.31856 0.040528 7.4938 1.8159 0.0075048 0.1897 2.3062 1.9973 5.8006 0.00040532 0.35 0.65 0 0.57153 0.75 0.00012351 4.2937e-06 0.0074342  
0.048791 1.9957 2.1317 0.20878 0.67213 0.62603 0.13842 1.9912 0.22632 0.4248 0.21 0.012 0.264 2.2113 0.28091 0.1594 0.36474 0.00064691 0.31455 0.041407 7.4929 1.8182 0.0077598 0.19069 2.307 1.997 5.8006 0.00045203 0.35 0.65 0 0.57171 0.75 0.00013755 5.3481e-06 0.0081923  
0.053934 1.995 2.1131 0.21996 0.68745 0.62144 0.14488 1.99 0.22163 0.40871 0.21 0.012 0.264 2.2123 0.28499 0.15811 0.36417 0.0006481 0.31069 0.042199 7.4919 1.8206 0.0079876 0.19166 2.3078 1.9967 5.8007 0.00049871 0.35 0.65 0 0.57189 0.75 0.00015148 6.5141e-06 0.0089314  
0.060929 1.994 2.0897 0.23315 0.70765 0.61519 0.15316 1.9882 0.21582 0.38898 0.21 0.012 0.264 2.2137 0.29071 0.1566 0.36321 0.00064966 0.30567 0.043151 7.4906 1.8241 0.0082593 0.19296 2.3088 1.9962 5.8008 0.00056215 0.35 0.65 0 0.57213 0.75 0.00017026 8.2772e-06 0.0099085  
0.067924 1.993 2.0683 0.24427 0.72721 0.60896 0.16092 1.9864 0.21058 0.37145 0.21 0.012 0.264 2.215 0.29657 0.15533 0.36205 0.00065117 0.30088 0.043972 7.4893 1.8275 0.0084928 0.19422 2.3099 1.9958 5.8008 0.00062554 0.35 0.65 0 0.57238 0.75 0.00018886 1.0242e-05 0.010856  
0.074919 1.992 2.0486 0.25355 0.74621 0.60275 0.16821 1.9846 0.20585 0.35584 0.21 0.012 0.264 2.2163 0.30257 0.15427 0.3607 0.00065262 0.29631 0.04468 7.4879 1.8311 0.0086933 0.19544 2.3111 1.9954 5.8009 0.00068887 0.35 0.65 0 0.57262 0.75 0.00020726 1.2406e-05 0.011775  
0.081914 1.991 2.0304 0.26124 0.7647 0.59655 0.17511 1.9827 0.20158 0.34192 0.21 0.012 0.264 2.2176 0.30867 0.15342 0.35918 0.00065404 0.29193 0.045288 7.4864 1.8348 0.0088654 0.19663 2.3122 1.995 5.801 0.00075215 0.35 0.65 0 0.57287 0.75 0.00022547 1.4766e-05 0.012669  
0.088909 1.9899 2.0136 0.26751 0.78272 0.59036 0.18164 1.9807 0.19771 0.3295 0.21 0.012 0.264 2.2188 0.31487 0.15274 0.35751 0.00065543 0.28774 0.045807 7.485 1.8384 0.0090126 0.19777 2.3133 1.9946 5.8011 0.00081538 0.35 0.65 0 0.57311 0.75 0.0002435 1.7321e-05 0.013539  
0.099236 1.9884 1.9909 0.27452 0.80856 0.58125 0.19069 1.9777 0.19267 0.31354 0.21 0.012 0.264 2.2205 0.32414 0.15203 0.35479 0.00065742 0.28186 0.046433 7.4829 1.844 0.0091912 0.1994 2.315 1.9939 5.8012 0.00090865 0.35 0.65 0 0.57348 0.75 0.00026979 2.1441e-05 0.014784  
0.10956 1.9869 1.9705 0.27923 0.83359 0.57217 0.19914 1.9747 0.18833 0.29997 0.21 0.012 0.264 2.2221 0.33352 0.15161 0.35182 0.00065935 0.2763 0.046915 7.4807 1.8496 0.0093309 0.20095 2.3167 1.9933 5.8013 0.0010018 0.35 0.65 0 0.57384 0.75 0.00029568 2.5969e-05 0.015985  
